date,sentence,importance,event-type,cluster
Sept. 3. 1848,You may possibly remember seeing me at the Philadelphia Convention introduced to you as the lone whig star of Illinois,1,event,0
Sept. 3. 1848," Since the adjournment, I have remained here, so long, in the Whig document room",0,,
Sept. 3. 1848," I am now about to start for home  and I desire the undisguised opinion of some experienced and sagacious Pennsylvania politician, as to how the vote of that state, for governor, and president, is likely to go",1,demand,1
Sept. 3. 1848," In casting about for such a man, I have settled upon you  and I shall be much obliged if you will write me at Springfield, Illinois",1,event,1
Sept. 3. 1848,"
 The news we are receiving here now, by letters from all quarters is steadily on the rise  we have none lately of a discouraging character",1,event,1
Sept. 3. 1848," This is the sum, without giving particulars",0,,
"September 12, 1848"," Abram Lincoln, whig member of Congress from Illinois, a representative of free soil",1,fact,2
"September 12, 1848"," Lincoln has a very tall and thin figure, with an intellectual face, showing a searching mind, and a cool judgment",1,fact,3
"September 12, 1848"," He spoke in a clear and cool, and very eloquent manner, for an hour and a half,Page 2
 carrying the audience with him in his able arguments and brilliant illustrations only interrupted by warm and frequent applause",1,event,4
"September 12, 1848"," He began by expressing a real feeling of modesty in addressing an audience  this side of the mountains,  a part of the country where, in the opinion of the people of his section, everybody was supposed to be instructed and wise",1,event,5
"September 12, 1848"," But he had devoted his attention to the question of the coming Presidential election, and was not unwilling to exchange with all whom he might meet the ideas to which he had arrived",1,event,5
"September 12, 1848", He then began to show the fallacy of some of the arguments against Gen,1,event,5
"September 12, 1848"," Taylor, making his chief theme the fashionable statement of all those who oppose him,  the old Locofocos as well as the new  that he has no principles, and that the whig party have abandoned their principles by adopting him as their candidate",1,event,5
"September 12, 1848"," Taylor occupied a high and unexceptionable whig ground, and took for his first instance and proof of this his statement in the Allison letter  3 with regard to the Bank, Tariff, Rivers and Harbors,  c",1,event,5
"September 12, 1848"," that the will of the people should produce its own results, without Executive influence",0,,
"September 12, 1848"," The principle that the people should do what under the constitution they please, is a whig principle",0,,
"September 12, 1848"," Taylor does is not only to consent, but to appeal to the people to judge and act for themselves",1,fact,6
"September 12, 1848", And this was no new doctrine for Whigs,0,,
"September 12, 1848"," It was the  platform  on which they had fought all their battles, the resistance of Executive influence, and the principle of enabling the people to frame the government according to their will",1,event,6
"September 12, 1848"," Taylor consents to be the candidate, and to assist the people to do what they think to be their duty, and think to be best in their natural affairs, but because he don t want to tell what we ought to do, he is accused of having no principles",1,event,6
"September 12, 1848"," The Whigs here  have  maintained for years that neither the influence, the duress, or the prohibition of the Executive should control the legitimately expressed will of the people  and now that on that very ground, Gen",1,fact,6
"September 12, 1848"," Taylor says that he should use the power given him by the people to do, to the best of his
 judgment, the will of the people, he is accused of want of principle, and of inconsistency in position",1,demand,6
"September 12, 1848"," Lincoln proceeded to examine the absurdity of an attempt to make a platform or creed for a national party, to all parts of which all must consent and agree, when it was clearly the intentionPage 3
 and the true philosophy of our government, that in Congress all opinions and principles should be represented, and that when the wisdom of all had been compared and united, the will of the majority should be carried out",1,event,6
"September 12, 1848"," On this ground he conceived  and the audience seemed to go with him  that General Taylor held correct, sound republican principles",1,event,6
"September 12, 1848"," Lincoln then passed to the subject of slavery in the States, saying that the people of Illinois agreed entirely with the people of Massachusetts on this subject, except perhaps that they did not keep so constantly thinking about it",1,event,6
"September 12, 1848"," All agreed that slavery was an evil, but that we were not responsible for it and cannot affect it in States of this Union where we do not live",1,fact,6
"September 12, 1848"," But, the question of the extension of slavery to new territories of this country, is a part of our responsibility and care, and is
 under our control",1,fact,
