date,sentence,importance,event-type,cluster
"1930, May 4","LETTER TO VICEROY [May 4, 1930]1 DEAR FRIEND, God willing, It is my intention on .",0,,
"1930, May 4",to set out for Dharasana and reach there with my companions on .,0,,
"1930, May 4",and demand possession of the Salt Works.,0,,
"1930, May 4",The public have been told that Dharasana is private property.,1,fact,0
"1930, May 4",This is mere camouflage.,0,,
"1930, May 4",It is as effectively under Government control as the Viceroy's House.,1,fact,0
"1930, May 4",Not a pinch of salt can be removed without the previous sanction of the authorities.,1,fact,0
"1930, May 4","It is possible for you to prevent this raid, as it has been playfully and mischievously called, in three ways: 1. by removing the salt tax; 1 The letter was drafted on the eve of Gandhiji's arrest.",1,demand,1
"1930, May 4",He was arrested at 12.45 a.m. on May 5.,1,event,1
"1930, May 4","390 THE COLLECTED WORKS OF MAHATMA GANDHI 2. by arresting me and my party unless the country can, as I hope it will, replace everyone taken away; 3. by sheer goondaism unless every head broken is replaced, as I hope it will.",1,fact,1
"1930, May 4",It is not without hesitation that the step has been decided upon.,0,,
"1930, May 4",I had hoped that the Government would fight the civil resisters in a civilized manner.,0,,
"1930, May 4",I could have had nothing to say if in dealing with the civil resisters the Government had satisfied itself with applying the ordinary processes of law.,1,fact,9000
"1930, May 4","Instead, whilst the known leaders have been dealt with more or less according to the legal formality, the rank and file has been often savagely and in some cases even indecently assaulted.",1,fact,9000
"1930, May 4","Had these been isolated cases, they might have been overlooked.",0,,
"1930, May 4","But accounts have come to me from Bengal, Bihar, Utkal, U.P., Delhi and Bombay confirming the experiences of Gujarat of which I have ample evidence at my disposal.",1,event,41
"1930, May 4","In Karachi, Peshawar and Madras the firing would appear to have been unprovoked and unnecessary.",1,fact,41
"1930, May 4","Bones have been broken, private parts have been squeezed for the purpose of making volunteers give up, to the Government valueless, to the volunteers precious salt.",1,event,41
"1930, May 4",At Mathura an Assistant Magistrate is said to have snatched the national flag from a ten-yearold boy.,1,demand,2
"1930, May 4",The crowd that demanded restoration of the flag thus illegally seized is reported to have been mercilessly beaten back.,1,event,2
"1930, May 4",That the flag was subsequently restored betrayed a guilty conscience.,1,event,2
"1930, May 4","In Bengal there seem to have been only a few prosecutions and assaults about salt, but unthinkable cruelties are said to have been practised in the act of snatching flags from volunteers.",1,fact,2
"1930, May 4","Paddy fields are reported to have been burnt, eatables forcibly taken.",1,event,9001
"1930, May 4",A vegetable market in Gujarat has been raided because the dealers would not sell vegetables to officials.,1,event,9001
"1930, May 4","These acts have taken place in front of crowds who, for the sake of Congress mandate have submitted without retaliation.",0,,
"1930, May 4",I ask you to believe the accounts given by men pledged to truth.,0,,
"1930, May 4","Repudiation even by high officials has, as in the Bardoli case, often proved false.",0,,
"1930, May 4","The officials, I regret to have to say, have not hesitated to publish falsehoods to the people even during the last five weeks.",0,,
"1930, May 4",I take the following samples from Government notices issued from Collectors' offices in Gujarat: 1.,0,,
"1930, May 4","Adults use five pounds of salt per year, therefore pay three annas per year as tax .",1,demand,9002
"1930, May 4",If Government removed the monopoly people will have to pay higher prices and in addition make good to the Government the loss sustained by the removal of the monopoly.,1,demand,9002
"1930, May 4","The salt you take from the seashore is not eatable, therefore the Government destroys it.",1,fact,9002
"1930, May 4",LETTER TO VICEROY 391 2.,0,,
"1930, May 4","Mr. Gandhi says that Government has destroyed hand-spinning in this country, whereas everybody knows that this is not true, because throughout the country, there is not a village where hand-spinning of cotton is not going on.",1,event,48
"1930, May 4",Moreover in every province cotton spinners are shown superior methods and are provided with better instruments at less price and are thus helped by Government.,0,,
