book no.,Year,sentence
volume52_book_384.txt,"December 25, 1932","LETTER TO T. S. KALYANA RAMA IYER December 25, 1932 DEAR FRIEND, I thank you for your long letter."
volume52_book_384.txt,"December 25, 1932",You are at liberty to publish your own letter and this reply.
volume52_book_384.txt,"December 25, 1932","In the first place, it seems to me that you have misconstrued the proposed Bill."
volume52_book_384.txt,"December 25, 1932","It is not sought to impose the views of a minority on the majority, but it is sought to restore the condition as it was before the decisions of Courts gave a permanent legal effect to a custom."
volume52_book_384.txt,"December 25, 1932","Whilst a particular custom is in vogue without at any stage being made permanent by decisions of a Court or by legislation, it becomes stagnant and is not liable to the gradual and imperceptible change that every healthy custom undergoes in process of time and under pressure of the demand of the public governed by that particular custom."
volume52_book_384.txt,"December 25, 1932",The proposed Bill will so alter the Court-made Law as to make it possible for the public interested by a majority to change the then existing custom.
volume52_book_384.txt,"December 25, 1932","Instances are not wanting in Hinduism to prove that even the interpretations of accepted Shastras have suffered evolution, so much so that in some cases the original meaning has completely gone into disuse."
volume52_book_384.txt,"December 25, 1932",All the fears that you have described in your letter are in my opinion groundless for the reason I have stated.
volume52_book_384.txt,"December 25, 1932","You will admit that there are rival schools of interpretation of the Agamas, as also there are Shastris who question the authenticity of certain Agamas."
volume52_book_384.txt,"December 25, 1932","If Hinduism was not in a decaying condition, we would not find those versed in Vedic lore supine, whilst gross superstition is defiling a religion that was once pure and had inherent capacity for continually throwing out impurities and responding to the call of the age."
volume52_book_384.txt,"December 25, 1932",I can only give you my assurance that I have no desire whatsoever to do violence to Hindu public feeling or to ignore the Shastras on which Hinduism is A LETTER 285 based.
volume52_book_384.txt,"December 25, 1932","I have, however, reserved to myself the right to determine according to my light the choice of interpretation in the midst of a variety, or even in all humility to give a new interpretation where in rare instances I feel the capacity for it, and this practice is quite consistent with the spirit of Hinduism."
volume52_book_384.txt,"December 25, 1932","We would not have a variety of interpretations and make them acceptable to a large number of Hindus, not always ignorant of Shastras."
volume52_book_384.txt,"December 25, 1932","You say that whenever an idol is polluted, all that is needed to restore its purity is to do so by authorized purification.1 Since there is no method of guarding an idol against pollution by the surreptitious entry of an untouchable or others who are prohibited from entering a particular temple, and since there is no infallible method of detecting intruders before they come within the pollution distance, does it not follow that the ceremony of purification has to be gone through every day in order to retain the efficacy of the idol?"
volume52_book_384.txt,"December 25, 1932","Again, how would you guard against the so-called untouchables declining to be classed as such and insisting upon being classified as savarna Hindus at the next census?"
volume52_book_384.txt,"December 25, 1932",Do you contemplate courts of inquisition for determining the birth-status of tens of thousands of Hindus?
volume52_book_384.txt,"December 25, 1932","If the Agamas, or rather the custodians of the Agamas, were at all alive to their trust, they would recognize the spirit of the age and draw from the very Shastras a meaning consistent with it."
volume52_book_242.txt,"December 13, 1932","LETTER TO C. V. VAIDYA December 13, 1932 I was delighted to receive your letter1 so full and instructive."
volume52_book_242.txt,"December 13, 1932","I wish you could have discussed your position with me before sending your letter to the Premier; but nothing is lost yet, and if you can conveniently spare the time, I would love to see you and discuss the thing with you."
volume52_book_242.txt,"December 13, 1932","Meanwhile, I present my doubts: 1."
volume52_book_242.txt,"December 13, 1932",Do you mean to say that under no circumstances can Hindu Law or Hindu practice be changed by Hindu public opinion?
volume52_book_242.txt,"December 13, 1932",Do you say that Smritis are unalterable and that everything said in them has to be carried out to the letter by a devout Hindu?
volume52_book_242.txt,"December 13, 1932",Were not Smritis written or revealed in response to the requirements of the age in which they were written?
volume52_book_242.txt,"December 13, 1932",Were not the Smritis written at different times?
volume52_book_242.txt,"December 13, 1932","If you hold that under no conceivable circumstance can legislation alter prevailing practice, how would you deal with the legal difficulty which is supposed to exist in Madras, viz., that even one man can under the law decided by the present courts, prevent the entry of untouchables to certain temples in spite of the consensus of public opinion in favour of such entry?"
volume52_book_242.txt,"December 13, 1932","1 Dated December 8, 1932 which read: "" ."
volume52_book_242.txt,"December 13, 1932","I have addressed a letter (dated November 18, 1932) to Mr. Ramsay MacDonald, President, 3rd R.T.C."
volume52_book_242.txt,"December 13, 1932","The reason which led me to address the letter is that I apprehend that hasty reformers will force by legislation, temple-entry and such like reforms down the throats of the orthodox Hindus of India who are voiceless, not being represented in the R.T.C."
volume52_book_242.txt,"December 13, 1932",or the Legislative Councils.
volume52_book_242.txt,"December 13, 1932","Subsequently came your declaration published in The Times of India, that if you had the power you would make it an offence under the Penal Code for anyone to refuse to touch the Harijans."
volume52_book_242.txt,"December 13, 1932","This was the last straw that broke the back of my silence and I at once addressed a letter on the subject to Mr. Ramsay MacDonald, President, 3rd R.T.C., requesting him to introduce a section in the new Constitution like the one existing in the present Government of India Act, prohibiting future legislatures from passing any laws forcing reforms in religious and socio-religious matters."
volume52_book_242.txt,"December 13, 1932","I feel strongly on the subject of noninterference by the State Legislatures in such matters and I thought it my duty to do what I can for it at this juncture"" (S.N."
volume52_book_242.txt,"December 13, 1932",179 180 THE COLLECTED WORKS OF MAHATMA GANDHI 6.
volume52_book_242.txt,"December 13, 1932","Or, do you hold that the existing temples can never be opened to untouchables?"
volume52_book_242.txt,"December 13, 1932","Or, is not your opposition to legislation based on the assumption that the mixed legislatures would be interfering with Hindu religion, although if Hindu opinion was taken, such legislation would be found to have no public backing?"
volume52_book_242.txt,"December 13, 1932",What objection would you see to the mere Hindu legislators first passing legislation regarding Hindu religion and then for the sake of formality it being passed by the whole House or Houses as the case may be.
volume52_book_242.txt,"December 13, 1932","9. Who are untouchables according to the Vedas, or, if you like, traditional Hindu religion?"
volume52_book_242.txt,"December 13, 1932",Does untouchability attach to birth and persist from generation to generation?
volume52_book_242.txt,"December 13, 1932",Is such untouchability incurable by any penance or purification undergone by such untouchables?
volume52_book_242.txt,"December 13, 1932",Is prohibition against interdining and intermarriage an integral part of varna dharma?
volume52_book_242.txt,"December 13, 1932",Is varna dharma fully performed if a man belonging to one varna desists from dining with those belonging to a different varna and from contracting marriage relations with people of a different varna?
volume52_book_242.txt,"December 13, 1932",Does a person so interdining or intermarrying forfeit his varna?
volume52_book_242.txt,"December 13, 1932","Is not occupation the test of varna, and does not a person who changes his occupation, say, Brahmin, to that of another varna, pass on to that varna, or, it may be, forfeit his right to any varna at all?"
volume52_book_242.txt,"December 13, 1932","I will not exhaust your patience nor tax your energy by adding to the already long list of questions, nor do I want you to burn midnight oil in order to be prompt in your reply, as you always are."
volume52_book_242.txt,"December 13, 1932",Perhaps you will be able to give in a sentence or two an exhaustive answer which will cover all the points that have occurred to me.
volume52_book_242.txt,"December 13, 1932","Anyway I shall look forward to your reply, and still more eagerly to your saying that you will make time to come to Yeravda to see me."
volume52_book_242.txt,"December 13, 1932","I suppose you are older than I am, but I am sure that it does not interfere with your vigour."
volume92_book_548.txt,"August 7, 1932","LETTER TO MATHURADAS P. ASAR [Before August 7, 1932]1 CHI."
volume92_book_548.txt,"August 7, 1932","MATHURADAS, I have your letter."
volume92_book_548.txt,"August 7, 1932",The hook for the cup has not yet arrived.
volume92_book_548.txt,"August 7, 1932",I am not even ready to use it as yet.
volume92_book_548.txt,"August 7, 1932",Every day the cup is before my eyes.
volume92_book_548.txt,"August 7, 1932",It has not been our intention to go on increasing the count.
volume92_book_548.txt,"August 7, 1932",I am going to be steady at around 40 counts myself.
volume92_book_548.txt,"August 7, 1932",Most probably it will be the same in the case of Sardar.
volume92_book_548.txt,"August 7, 1932",Mahadev may settle at around 80 counts.
volume92_book_548.txt,"August 7, 1932",Then testing it would be the thing to do.
volume92_book_548.txt,"August 7, 1932",It would be easy to see the result.
volume92_book_548.txt,"August 7, 1932","If the yarn is even and does not break while being taken off and is tightly wound round the spindle, then the yarn is not likely to be weak."
volume92_book_548.txt,"August 7, 1932","On the other hand, there are chances of being cheated in the tests made using the cup or the machine used in a mill."
volume92_book_548.txt,"August 7, 1932",The yarn cannot be unwound from just any place.
volume92_book_548.txt,"August 7, 1932",There would be much waste in doing so.
volume92_book_548.txt,"August 7, 1932","Hence, only if the yarn is even from the point of unwinding can it stand the test."
volume92_book_548.txt,"August 7, 1932",This means that yarn can be tested only by the weaver.
volume92_book_548.txt,"August 7, 1932",The yarn which can be used for weaving without difficulty is good yarn.
volume92_book_548.txt,"August 7, 1932",But the purpose of writing is not to disregard the tools of yarn-testing.
volume92_book_548.txt,"August 7, 1932",My purpose is only to indicate the time for doing the test.
volume92_book_548.txt,"August 7, 1932",At one time I used to do the testing every day.
volume92_book_548.txt,"August 7, 1932",I had prepared the tool for the purpose with the materials available at home.
volume92_book_548.txt,"August 7, 1932","1 From the contents the letter appears to have been written before the one to the addressee of August 7, 1932; vide Vol."
volume92_book_548.txt,"August 7, 1932",LETTER TO MATHURADAS P. ASAR 329 But then I found that it was taking a lot of time.
volume92_book_548.txt,"August 7, 1932",And I was not able to effect much improvement thereby.
volume92_book_548.txt,"August 7, 1932","I also saw that where I only used my guess instead of the test, my guess frequently turned out to be correct, because, while unwinding the yarn, it would have passed before the eyes."
volume92_book_548.txt,"August 7, 1932",One would also know how often it has broken and also how well the yarn has been wound on the spindle.
volume92_book_548.txt,"August 7, 1932","And so, an intelligent spinner automatically gets an idea about the quality of his yarn."
volume92_book_548.txt,"August 7, 1932",Otherwise you are absolutely correct in arguing that there is no reason to gloat over the fact if the yarn is of 100 counts on weighing.
volume92_book_548.txt,"August 7, 1932",I know that there can be yarn of 100 counts fit only to be thrown away.
volume92_book_548.txt,"August 7, 1932",I have also seen such yarn.
volume92_book_548.txt,"August 7, 1932",Any attempt to spin such yarn is sheer waste of time.
volume92_book_548.txt,"August 7, 1932","Hence, anyone spinning fine yarn should be convinced that the yarn will easily be turned into a length of cloth."
volume92_book_548.txt,"August 7, 1932","Then alone can the yarn be considered as of good quality, otherwise it is useless."
volume92_book_548.txt,"August 7, 1932",That is why I had written to Narandas two or three months ago that he should make arrangements for the weaving of fine yarn.
volume92_book_548.txt,"August 7, 1932",Your report about the Yajnik Sewing Machine is interesting.
volume92_book_548.txt,"August 7, 1932",If we get volunteers in thousands involved in the .
volume92_book_548.txt,"August 7, 1932",".1 right at the beginning, the experiment will not go very far."
volume92_book_548.txt,"August 7, 1932","Hence, we must invent something which will ensure proper use of the hand needle and does not take much time."
volume92_book_548.txt,"August 7, 1932",It is only with this in view that I have kept embroidery and knitting in my mind.
volume92_book_548.txt,"August 7, 1932","The art of Yajnik sewing is not for making available to the poor readymade khadi garments, but for quick disposal of the khadi woven by the poor without loss."
volume92_book_548.txt,"August 7, 1932",It is for making expensive-looking khadi inexpensive.
volume92_book_548.txt,"August 7, 1932","But if we expect from a fairly wealthy person that he shall buy khadi however expensive and however coarse it may be, and then get it stitched at his own expense, then khadi cannot go very far."
volume92_book_548.txt,"August 7, 1932","Alternatively khadi should be sold at a loss or the spinning charges, etc., should be brought down."
volume92_book_548.txt,"August 7, 1932",In your plan I saw the suggestion to avoid doing that and so I promptly welcomed it.
volume92_book_548.txt,"August 7, 1932",Hence you should convince the ladies who have protested that they should feel gratified that they adorned the khadi woven by the poor by stitching it free and serving the poor.
volume92_book_548.txt,"August 7, 1932","For, by their action, the stitched garments could be sold at the price of unwashed khadi and we could pay the poor their full wages."
volume92_book_548.txt,"August 7, 1932",We can certainly make an inexpensive sewing-machine in this country; but I think it can only be an imitation of the machine in vogue at present.
volume92_book_548.txt,"August 7, 1932","If so, it should mean overriding 1 Unclear in the original 330 THE COLLECTED WORKS OF MAHATMA GANDHI the patent law."
volume92_book_548.txt,"August 7, 1932","The Singer and other machines have invested capital of millions of rupees and wherever patent laws prevail, they must be registering their patents."
volume92_book_548.txt,"August 7, 1932","But I am not fully conversant with the situation, and if somebody invents an original design and prepares a sewing-machine which is simpler than the machines currently in use, he himself can earn millions by registering his patent."
volume92_book_548.txt,"August 7, 1932","Because, he would then compete with the Singer machine."
volume92_book_548.txt,"August 7, 1932",Our craftsmanship has still not inspired such confidence in me.
volume92_book_548.txt,"August 7, 1932","In the West, there are countless new inventions every day."
volume92_book_548.txt,"August 7, 1932",But that is not our field at all.
volume92_book_548.txt,"August 7, 1932",Something like that has no doubt been in my mind.
volume92_book_548.txt,"August 7, 1932",Our ancestors invented the greatest thing in the shape of the spinning-wheel.
volume92_book_548.txt,"August 7, 1932",Millions of people have benefited from it.
volume92_book_548.txt,"August 7, 1932",Textile machinery is based on the design of the spinning-wheel.
volume92_book_548.txt,"August 7, 1932",Hence there is still much scope in the direction of improvement of the spinning-wheel.
volume92_book_548.txt,"August 7, 1932",I am sure that something will emerge.
volume92_book_548.txt,"August 7, 1932","There can be a profit of millions, but there is no chance for a single individual to earn millions."
volume92_book_548.txt,"August 7, 1932",Now about your diet.
volume92_book_548.txt,"August 7, 1932",You have done well to give up starches.
volume92_book_548.txt,"August 7, 1932",Equally important is the point about pulses.
volume92_book_548.txt,"August 7, 1932","If the curd is absolutely sweet (not sour), it can never cause headache."
volume92_book_548.txt,"August 7, 1932","To make it safe, a little soda may be added to it."
volume92_book_548.txt,"August 7, 1932","But if one can take milk, there is no need to take curd."
volume92_book_548.txt,"August 7, 1932",It is only superstition that papaw is harmful to the eyes.
volume92_book_548.txt,"August 7, 1932",Any person can test this fact by taking only papaw.
volume92_book_548.txt,"August 7, 1932",He should take nothing else with it.
volume92_book_548.txt,"August 7, 1932",This can be tested by having a single meal of papaw.
volume92_book_548.txt,"August 7, 1932",There is no need to entertain such a superstition even with regard to ripe tomatoes.
volume92_book_548.txt,"August 7, 1932","Your diet can consist of thin chapati, green vegetables and milk."
volume92_book_548.txt,"August 7, 1932",You must have something sweet.
volume92_book_548.txt,"August 7, 1932","You can take currants, black grape or raisins."
volume92_book_548.txt,"August 7, 1932","Raw onion can do you good, but it can be taken only in the evening because I know that it gives off a terrible smell."
volume92_book_548.txt,"August 7, 1932",I have myself eaten lots of raw onions.
volume92_book_548.txt,"August 7, 1932",I did it only in the evening and avoided meeting anyone afterwards.
volume92_book_548.txt,"August 7, 1932",But the tolerance of our women is infinite.
volume92_book_548.txt,"August 7, 1932","But since Ba has been in the habit of making free comments over the years, she could not hold herself from remarking on the matter."
volume92_book_548.txt,"August 7, 1932",And in the end she always warned me against going before anyone else with my mouth stinking.
volume92_book_548.txt,"August 7, 1932",And she was absolutely right.
volume92_book_548.txt,"August 7, 1932",I am afraid your digestive system cannot accept almonds.
volume92_book_548.txt,"August 7, 1932",Do not go on brooding about your diet.
volume92_book_548.txt,"August 7, 1932",Do not brood over your illness either.
volume92_book_548.txt,"August 7, 1932","Once you have decided about something, it should be taken as settled."
volume92_book_548.txt,"August 7, 1932",Taking a vow only means that our mind stops bothering about it after the vow has been taken.
volume92_book_548.txt,"August 7, 1932","Just as a trader LETTER TO DR. M. A. ANSARI 331 does not bother about the thing he has already sold and starts thinking about the next thing, so also the mind."
volume51_book_602.txt,"November 8, 1932","LETTER TO JAMNALAL BAJAJ November 8, 1932 CHI."
volume51_book_602.txt,"November 8, 1932","JAMNALAL, Your letter was delivered to me just now."
volume51_book_602.txt,"November 8, 1932",It was immediately read out to me and I am now dictating this reply.
volume51_book_602.txt,"November 8, 1932","May you have, on your birthday, all the blessings you desire, basketfuls of them."
volume51_book_602.txt,"November 8, 1932","Why should we fear death, which comes to all sooner or later-to the great and the humble, to the white and the black, to human beings and other creatures?"
volume51_book_602.txt,"November 8, 1932",Why grieve over it either?
volume51_book_602.txt,"November 8, 1932",I often feel that death must be a less painful event than birth.
volume51_book_602.txt,"November 8, 1932",I leave aside the pain which the baby suffers in the mother's womb before birth.
volume51_book_602.txt,"November 8, 1932",But all of us know the suffering in this world which commences from the moment of birth.
volume51_book_602.txt,"November 8, 1932",Consider the helplessness of the baby at the moment of birth-every baby as helpless as any other.
volume51_book_602.txt,"November 8, 1932","On the other hand, if our life has been pure we shall have no such experience at the moment of death."
volume51_book_602.txt,"November 8, 1932","A baby does not seek knowledge, nor can it have any."
volume51_book_602.txt,"November 8, 1932","At the time of death, on the other hand, it is not only possible for one to be in a state of union with the Brahman but we actually know that many persons die in such a state."
volume51_book_602.txt,"November 8, 1932","Birth always means entering a world of suffering, whereas death can be complete deliverance from suffering."
volume51_book_602.txt,"November 8, 1932","We can thus think from many points of view about the beauty and the benefits of death, and can also meet our death in that spirit."
volume51_book_602.txt,"November 8, 1932",I bless you that your death may be of this type.
volume51_book_602.txt,"November 8, 1932",This wish includes everything else which is for your good.
volume51_book_602.txt,"November 8, 1932",The two friends join me in wishing this.
volume51_book_602.txt,"November 8, 1932","Even after knowing all the facts about your health, I adhere to the view which I have expressed."
volume51_book_602.txt,"November 8, 1932","If you are permitted to obtain your food at your own expense, I see nothing wrong in your doing so."
volume51_book_602.txt,"November 8, 1932","We should regard our body as a trust, and it is our duty as its trustee to take care 1 Members of the Servants of India Society 382 THE COLLECTED WORKS OF MAHATMA GANDHI of it to the best of our ability."
volume51_book_602.txt,"November 8, 1932","You should not ask for or accept even a grain of jaggery to gratify your palate, but I see nothing wrong in your trying and getting even the costliest variety of grapes if you need them as medicine and if they can be had."
volume51_book_602.txt,"November 8, 1932","You need not, therefore, feel unhappy if you have to eat such food."
volume51_book_602.txt,"November 8, 1932","If we can, we should also help others who may be placed in similar circumstances to secure such food."
volume51_book_602.txt,"November 8, 1932",In my view you don't require all the wheat that is supplied to you.
volume51_book_602.txt,"November 8, 1932",I also think it desirable for you to banish jaggery altogether from your food.
volume51_book_602.txt,"November 8, 1932",Your body does not require it at all.
volume51_book_602.txt,"November 8, 1932",It is better to take innocent honey instead.
volume51_book_602.txt,"November 8, 1932",Mixing any form of sugar in milk affects its digestibility.
volume51_book_602.txt,"November 8, 1932",It would be better to increase the quantity of milk instead.
volume51_book_602.txt,"November 8, 1932",You are doing right in eating butter and not olive oil.
volume51_book_602.txt,"November 8, 1932","The olive oil available in India is not always pure, and of course it cannot be fresh."
volume51_book_602.txt,"November 8, 1932","Moreover, olive oil does not contain the vitamins which butter does."
volume51_book_602.txt,"November 8, 1932",The vegetables which you eat should always be green vegetables.
volume51_book_602.txt,"November 8, 1932",Potatoes and similar vegetables are practically a substitute for rotli.
volume51_book_602.txt,"November 8, 1932","You require very little starch, and whatever little you require you will get from wheat."
volume51_book_602.txt,"November 8, 1932",You should not eat pulses in any circumstances.
volume51_book_602.txt,"November 8, 1932","If you eat a sufficient quantity of butter, two pounds of milk will be enough for you."
volume51_book_602.txt,"November 8, 1932",Whether you should increase or diminish their quantity will depend upon your weight at the time.
volume51_book_602.txt,"November 8, 1932","You should go on increasing the quantity of either or both to as much as you can digest, till your weight becomes steady."
volume51_book_602.txt,"November 8, 1932","Among the green vegetables, gourd, pumpkin, the different kinds of edible leaves, cabbage, cauliflower, tender bean-pods and brinjal are considered good."
volume51_book_602.txt,"November 8, 1932",The wheat flour should be whole.
volume51_book_602.txt,"November 8, 1932","If the wheat has been properly cleaned before it is ground, no portion of the flour should be thrown away."
volume51_book_602.txt,"November 8, 1932","Among fruits, grapes, mosambis, oranges, pomegranates, apples and pineapple are beneficial for health."
volume51_book_602.txt,"November 8, 1932",Some experiments being made in America indicate that a meal should not consist of a variety of articles.
volume51_book_602.txt,"November 8, 1932","Fruit has the most nourishing value if it is eaten alone, and the best practice is to eat it when the stomach is empty."
volume51_book_602.txt,"November 8, 1932",There is even a saying in English to the effect that fruit in the morning is gold and in the afternoon silver.
volume51_book_602.txt,"November 8, 1932","Our first meal, therefore, should consist only of fruit, though there would be no harm if it is preceded by a glass of warm water the first thing in the morning."
volume51_book_602.txt,"November 8, 1932","If you can get permission to live all the twenty-four hours of the day in open air, it would be worth while to secure it."
volume51_book_602.txt,"November 8, 1932",It would help you if you can slowly do breathing exercises in open air.
volume51_book_602.txt,"November 8, 1932",You need not at all be afraid of the cold at night.
volume51_book_602.txt,"November 8, 1932",It will have no harmful LETTER TO NARANDAS GANDHI 383 effect on your health if you have properly covered yourself up to the neck and wound a piece of cloth over the head so as to keep the ears covered.
volume51_book_602.txt,"November 8, 1932",It is essential that the lungs should be supplied with the purest air the whole day and night.
volume51_book_602.txt,"November 8, 1932",You should expose your body to the sun in the morning for as long as you can bear.
volume51_book_602.txt,"November 8, 1932",Discuss all these suggestions with Dr. Contractor and then do what seems best to you.
volume51_book_602.txt,"November 8, 1932",I hope Madhavji is happy and comfortable in every way.
volume51_book_602.txt,"November 8, 1932",Give my blessings and regards of all three of us to the coworkers who are with you in the jail.
volume51_book_602.txt,"November 8, 1932",Probably you know what is going on here in regard to untouchability.
volume51_book_602.txt,"November 8, 1932",You can send any suggestions which occur to you.
volume51_book_602.txt,"November 8, 1932",You will be permitted by the authorities there to do so.
volume51_book_481.txt,"October 24, 1932","LETTER TO E. E. DOYLE Urgent October 24, 1932 DEAR COL. DOYLE, Your communication regarding my request 2 for a definition of Government policy about my interviewing friends and carrying on correspondence in the matter of untouchability and another matter was read to me by Major Bhandari this morning."
volume51_book_481.txt,"October 24, 1932",I was allowed to make a copy of it.
volume51_book_481.txt,"October 24, 1932","According to the communication, ""Government are prepared to allow me a reasonable number of interviews (with persons approved by them)"", and to carry on correspondence, ""provided it is clearly understood that it is not reproduced in the Press""."
volume51_book_481.txt,"October 24, 1932",It is clear to me that Government could not be aware that my fast is only suspended and that it may have to be resumed if the work of removal of untouchability is not thoroughly done.
volume51_book_481.txt,"October 24, 1932","Moreover, so far as a temple in the South is concerned, I might be obliged to join Sjt."
volume51_book_481.txt,"October 24, 1932","Kelappan in his fast, if by or before the 2nd of January next that temple is not opened to the so-called untouchables."
volume51_book_481.txt,"October 24, 1932",This the Government has known.
volume51_book_481.txt,"October 24, 1932",Three weeks 1 Vide p. 265.
volume51_book_481.txt,"October 24, 1932","288 LETTER TO E. E. DOYLE 289 have already passed without my being able to do much work, apart from being permitted after long delay to send two telegrams."
volume51_book_481.txt,"October 24, 1932","Despatch and publicity are essential, if I am to overtake the work of reform in due time."
volume51_book_481.txt,"October 24, 1932",I therefore submit that all restrictions on the choice of visitors and publication of correspondence should be removed.
volume51_book_481.txt,"October 24, 1932",I can have no objection to the presence of an official or officials at the interviews and inspection there and then of correspondence.
volume51_book_481.txt,"October 24, 1932","If assistance is supplied to me, the Government may have copies of all correspondence and shorthand notes of interviews."
volume51_book_481.txt,"October 24, 1932",Naturally these interviews and correspondence should have no reference to civil disobedience and must be strictly limited to the removal of untouchability.
volume51_book_481.txt,"October 24, 1932","Unless therefore these restrictions, as submitted above, are removed, before the 1st November next, I shall be reluctantly obliged to withdraw, subject to the limitations imposed by the law of satyagraha, such co-operation as is possible for me to do."
volume51_book_481.txt,"October 24, 1932","And as a preliminary, I shall deny myself all the feeding facilities permitted to me and restrict myself to such 'C' class diet as I can within my vow consistently take and so long as my body can accommodate itself to such food."
volume51_book_481.txt,"October 24, 1932",I do hope the Government will not regard this as a threat.
volume51_book_481.txt,"October 24, 1932",The contemplated step is the natural consequence of the Government attitude.
volume51_book_481.txt,"October 24, 1932","I can have no interest in life if I cannot prosecute, without let or hindrance, work for which the fast was undertaken and suspended."
volume51_book_481.txt,"October 24, 1932",I would have said nothing if this moral and religious reform had anything to do with civil disobedience.
volume51_book_481.txt,"October 24, 1932","With reference to my personal letter1 to the Honourable Mr. Hudson, the reply comes upon me as a painful surprise."
volume51_book_481.txt,"October 24, 1932","If the warning read out to me at the interview with Dr. Ambedkar was by way of punishment for what I am alleged to have done regarding the telegram to Maulana Shaukat Ali, common justice even to a prisoner demanded that the cause of the punishment should have been conveyed to me at the time of the warning, and before the punishment was pronounced explanation should have been called for from me."
volume51_book_481.txt,"October 24, 1932",I never knew that a prisoner could be condemned unheard.
volume51_book_481.txt,"October 24, 1932",Nor had I the remotest idea that the letter to my son which I had seen was intended to convey any warning to me.
volume51_book_481.txt,"October 24, 1932","Let me say that my son told me definitely in official presence that Mr. Hudson had in a generous manner not only quickly granted him permission to see me as often as he liked but that he had permitted him to talk to me about anything and carry any messages from me, so long as he gave no interviews to the Press 1 Vide pp."
volume51_book_481.txt,"October 24, 1932",51-19 290 THE COLLECTED WORKS OF MAHATMA GANDHI and published nothing.
volume51_book_481.txt,"October 24, 1932","In view of this conversation I saw nothing wrong in asking my son to tell Mr. Shaukat Ali that I had seen his wire and that I had replied to it, and that he was likely to receive the reply in the course of a day or two, the delay being due to the fact that it had gone to the Government for being passed."
volume51_book_481.txt,"October 24, 1932",I had not then the remotest idea that the utterly innocent telegram would not be passed.
volume51_book_481.txt,"October 24, 1932",I did therefore give my son also the purport of the reply.
volume51_book_481.txt,"October 24, 1932",Let me however correct two misstatements in the paragraph of your communication regarding this matter.
volume51_book_481.txt,"October 24, 1932","I had no knowledge at the time of talking to my son that the telegram had not been ""passed for transmission""."
volume51_book_481.txt,"October 24, 1932",Nor is it correct to say that the text of the reply has been published in the Press.
volume51_book_481.txt,"October 24, 1932",What I have seen is only the substance.
volume51_book_481.txt,"October 24, 1932",I did not give my son a copy of the reply.
volume51_book_481.txt,"October 24, 1932",I add that my son out of nobility of his nature wrote a gentlemanly letter to Mr. Hudson regretting that Maulana Shaukat Ali had published his conversation with him in spite of his caution.
volume51_book_481.txt,"October 24, 1932","He had expected a letter of thanks in reply for his frankness but unfortunately he received a reprimand, and he remained quiet under it."
volume51_book_481.txt,"October 24, 1932",I should be sorry if after this very full explanation Mr. Hudson does not revise his opinion and think that as man to man he has done me a grave injustice.
volume51_book_481.txt,"October 24, 1932","Yours sincerely, M. K. GANDHI [PS.]"
volume51_book_481.txt,"October 24, 1932","Since it is obviously impossible for me to guarantee nonpublication by my correspondents, known and unknown, of letters I may write to them, whilst the bar referred to lasts, I have to suspend what correspondence on untouchability I have hitherto carried on."
volume51_book_481.txt,"October 24, 1932",I am entitled therefore to ask that a reply to this matter be sent as early as possible before the 31st instant.
volume51_book_481.txt,"October 24, 1932","1 Bombay Secret Abstracts, Home Department, Special Branch, File No."
